data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
input/tor/tor_1024.txt,mloga,30,1,47361.1,0,0,0
input/tor/tor_1024.txt,mloga,30,2,47361.1,0,0,0
input/tor/tor_1024.txt,mloga,30,3,43845.1,0,0,0
input/tor/tor_1024.txt,mloga,30,4,41128.4,0,0,0
input/tor/tor_1024.txt,mloga,30,5,40471.7,0,0,0
input/tor/tor_1024.txt,mloga,30,6,38573.3,0,0,0
input/tor/tor_1024.txt,mloga,30,7,38429.7,0,0,0
input/tor/tor_1024.txt,mloga,30,8,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,9,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,10,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,11,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,12,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,13,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,14,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,15,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,16,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,17,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,18,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,19,35015.4,0,0,0
input/tor/tor_1024.txt,mloga,30,20,35015.4,0,0,0
