data_set,algorithm,max_iterations,max_depth,total_cost,average_cost_gain,average_swapped_pairs,average_num_iterations
input/tor/tor_128.txt,mloga,30,1,129050,0,0,0
input/tor/tor_128.txt,mloga,30,2,122754,0,0,0
input/tor/tor_128.txt,mloga,30,3,122240,0,0,0
input/tor/tor_128.txt,mloga,30,4,126548,0,0,0
input/tor/tor_128.txt,mloga,30,5,126350,0,0,0
input/tor/tor_128.txt,mloga,30,6,126350,0,0,0
input/tor/tor_128.txt,mloga,30,7,126350,0,0,0
input/tor/tor_128.txt,mloga,30,8,126350,0,0,0
input/tor/tor_128.txt,mloga,30,9,126350,0,0,0
input/tor/tor_128.txt,mloga,30,10,126350,0,0,0
input/tor/tor_128.txt,mloga,30,11,126350,0,0,0
input/tor/tor_128.txt,mloga,30,12,126350,0,0,0
input/tor/tor_128.txt,mloga,30,13,126350,0,0,0
input/tor/tor_128.txt,mloga,30,14,126350,0,0,0
input/tor/tor_128.txt,mloga,30,15,126350,0,0,0
input/tor/tor_128.txt,mloga,30,16,126350,0,0,0
input/tor/tor_128.txt,mloga,30,17,126350,0,0,0
input/tor/tor_128.txt,mloga,30,18,126350,0,0,0
input/tor/tor_128.txt,mloga,30,19,126350,0,0,0
input/tor/tor_128.txt,mloga,30,20,126350,0,0,0
input/tor/tor_256.txt,mloga,30,1,115664,0,0,0
input/tor/tor_256.txt,mloga,30,2,113576,0,0,0
input/tor/tor_256.txt,mloga,30,3,112410,0,0,0
input/tor/tor_256.txt,mloga,30,4,111508,0,0,0
input/tor/tor_256.txt,mloga,30,5,105438,0,0,0
input/tor/tor_256.txt,mloga,30,6,100774,0,0,0
input/tor/tor_256.txt,mloga,30,7,100774,0,0,0
input/tor/tor_256.txt,mloga,30,8,100774,0,0,0
input/tor/tor_256.txt,mloga,30,9,100774,0,0,0
input/tor/tor_256.txt,mloga,30,10,100774,0,0,0
input/tor/tor_256.txt,mloga,30,11,100774,0,0,0
input/tor/tor_256.txt,mloga,30,12,100774,0,0,0
input/tor/tor_256.txt,mloga,30,13,100774,0,0,0
input/tor/tor_256.txt,mloga,30,14,100774,0,0,0
input/tor/tor_256.txt,mloga,30,15,100774,0,0,0
input/tor/tor_256.txt,mloga,30,16,100774,0,0,0
input/tor/tor_256.txt,mloga,30,17,100774,0,0,0
input/tor/tor_256.txt,mloga,30,18,100774,0,0,0
input/tor/tor_256.txt,mloga,30,19,100774,0,0,0
input/tor/tor_256.txt,mloga,30,20,100774,0,0,0
input/tor/tor_512.txt,mloga,30,1,173372,0,0,0
input/tor/tor_512.txt,mloga,30,2,174842,0,0,0
input/tor/tor_512.txt,mloga,30,3,163490,0,0,0
input/tor/tor_512.txt,mloga,30,4,166948,0,0,0
input/tor/tor_512.txt,mloga,30,5,147126,0,0,0
input/tor/tor_512.txt,mloga,30,6,149784,0,0,0
input/tor/tor_512.txt,mloga,30,7,149156,0,0,0
input/tor/tor_512.txt,mloga,30,8,149156,0,0,0
input/tor/tor_512.txt,mloga,30,9,149156,0,0,0
input/tor/tor_512.txt,mloga,30,10,149156,0,0,0
input/tor/tor_512.txt,mloga,30,11,149156,0,0,0
input/tor/tor_512.txt,mloga,30,12,149156,0,0,0
input/tor/tor_512.txt,mloga,30,13,149156,0,0,0
input/tor/tor_512.txt,mloga,30,14,149156,0,0,0
input/tor/tor_512.txt,mloga,30,15,149156,0,0,0
input/tor/tor_512.txt,mloga,30,16,149156,0,0,0
input/tor/tor_512.txt,mloga,30,17,149156,0,0,0
input/tor/tor_512.txt,mloga,30,18,149156,0,0,0
input/tor/tor_512.txt,mloga,30,19,149156,0,0,0
input/tor/tor_512.txt,mloga,30,20,149156,0,0,0
input/tor/tor_1024.txt,mloga,30,1,173228,0,0,0
input/tor/tor_1024.txt,mloga,30,2,173228,0,0,0
input/tor/tor_1024.txt,mloga,30,3,153760,0,0,0
input/tor/tor_1024.txt,mloga,30,4,143744,0,0,0
input/tor/tor_1024.txt,mloga,30,5,138914,0,0,0
input/tor/tor_1024.txt,mloga,30,6,131952,0,0,0
input/tor/tor_1024.txt,mloga,30,7,131650,0,0,0
input/tor/tor_1024.txt,mloga,30,8,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,9,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,10,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,11,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,12,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,13,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,14,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,15,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,16,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,17,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,18,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,19,113762,0,0,0
input/tor/tor_1024.txt,mloga,30,20,113762,0,0,0
